Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8, C9",0402,9,100n,
D1,0603,1,LED,
R1,0402,1,100Ω,
R2,0402,1,10k,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC165,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC595,
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,TXS0108EPW,
