Designator,Mid X,Mid Y,Rotation,Layer
C1,162.4838,-92.8116,180.0,top
C2,180.86048,-76.37,0.0,top
C3,124.29,-121.09,270.0,top
C4,144.1095,-105.4735,180.0,top
C5,180.86048,-91.12,0.0,top
C6,137.3785,-118.1735,180.0,top
C7,135.770148,-85.0875,180.0,top
C8,135.0,-68.76,180.0,top
C9,165.9382,-92.837,0.0,top
D1,177.292,-68.707,180.0,top
R1,173.99,-68.707,0.0,top
R2,161.1376,-102.108,270.0,top
U2,175.46048,-80.895,270.0,top
U3,175.46048,-95.595,270.0,top
U5,164.1856,-97.282,270.0,top
